Time (s), Acceleration x (m/s^2), Acceleration y (m/s^2), Acceleration z (m/s^2), Angular velocity p (rad/s), Angular velocity q (rad/s), Angular velocity r (rad/s), Magnetic field x (muT), Magnetic field y (muT), Magnetic field z (muT), Roll angle phi (deg), Pitch angle theta (deg), Yaw angle psi (deg), GPS Latitude (DDMM.MMMM), GPS Longiude (DDMM.MMMM), GPS Altitude (cm), GPS Speed (knots), GPS Heading (deg), GPS Number of Satellites
20.867, 0.5492, 1.8437, 9.8459, -0.0505, 0.2224, 0.4485, 27.0000, 7.5455, -25.1020, 10.6729, -2.5969, -29.2144, 4216.4785, 7148.4185, 183.70, 0.24, 41.51, 3
20.892, 0.1961, 2.0398, 10.0812, 0.0176, -0.0170, 0.5232, 27.0000, 7.5455, -25.1020, 11.4385, -1.0924, -31.3691, 4216.4785, 7148.4185, 183.70, 0.24, 41.51, 3
20.913, -0.3530, 1.6475, 10.0028, -0.0266, 0.0055, 0.6263, 28.4545, 6.6364, -24.6939, 9.3530, 1.9945, -28.5844, 4216.4785, 7148.4185, 183.70, 0.24, 41.51, 3
20.932, -0.9414, 1.2160, 10.5912, -0.0796, 0.1016, 0.6223, 28.4545, 6.6364, -24.6939, 6.5497, 5.0466, -27.3641, 4216.4785, 7148.4185, 183.70, 0.24, 41.51, 3
20.952, -0.7845, 1.1768, 10.9050, -0.0987, 0.1306, 0.5629, 28.4545, 6.6364, -24.6939, 6.1592, 4.0912, -25.8414, 4216.4785, 7148.4185, 183.70, 0.24, 41.51, 3
20.977, -0.2354, 1.6083, 10.9442, -0.1405, 0.1413, 0.3787, 29.2727, 6.0000, -23.8776, 9.0665, -0.6019, -24.0555, 4216.4785, 7148.4185, 183.70, 0.24, 41.51, 3
20.997, 0.1961, 1.9613, 11.0619, -0.1888, 0.1617, 0.4090, 29.2727, 6.0000, -23.8776, 9.9611, -0.0000, -25.5900, 4216.4785, 7148.4185, 183.70, 0.24, 41.51, 3
21.016, -0.0785, 1.7260, 11.0227, -0.2169, 0.1697, 0.5275, 29.2727, 6.0000, -23.8776, 9.3624, 2.0254, -26.4167, 4216.4785, 7148.4185, 183.70, 0.24, 41.51, 3
21.062, -0.7061, 1.8437, 10.0028, -0.2558, 0.2488, 0.6442, 30.2727, 5.2727, -23.5714, 10.4432, 3.9710, -27.2706, 4216.4785, 7148.4185, 183.70, 0.24, 41.51, 3
21.083, -0.8238, 0.9807, 10.5912, -0.1271, 0.3630, 0.6197, 30.2727, 5.2727, -23.5714, 5.2901, 4.4285, -20.2172, 4216.4785, 7148.4185, 183.70, 0.24, 41.51, 3
21.102, -0.3138, 1.2553, 11.0227, 0.0070, 0.2240, 0.4421, 30.2727, 5.2727, -23.5714, 6.4968, 1.6203, -16.9254, 4216.4785, 7148.4185, 183.70, 0.24, 41.51, 3
21.131, 0.5099, 2.3928, 10.1989, 0.0631, -0.0076, 0.4116, 31.6364, 4.1818, -22.2449, 13.2037, -2.7869, -22.0940, 4216.4785, 7148.4185, 183.70, 0.24, 41.51, 3
21.150, 0.0000, 2.3144, 10.6696, 0.1129, 0.0183, 0.6642, 31.6364, 4.1818, -22.2449, 12.2385, -0.0000, -22.8293, 4216.4785, 7148.4185, 183.70, 0.24, 41.51, 3
21.170, -0.9414, 1.9613, 10.9442, 0.0793, 0.0793, 0.8981, 31.6364, 4.1818, -22.2449, 10.1602, 4.8398, -20.2408, 4216.4785, 7148.4185, 183.70, 0.24, 41.51, 3
21.195, -1.3337, 1.6867, 10.7873, 0.0170, 0.1008, 0.9490, 32.2727, 2.0909, -22.2449, 8.9189, 5.9691, -18.8595, 4216.4785, 7148.4185, 183.70, 0.24, 41.51, 3
21.215, -0.9807, 1.7260, 10.6696, -0.0281, 0.1669, 0.8937, 32.2727, 2.0909, -22.2449, 9.0903, 3.0830, -17.2751, 4216.4785, 7148.4185, 183.70, 0.24, 41.51, 3
21.234, -0.3923, 1.8829, 10.4735, -0.0965, 0.2205, 0.8793, 32.2727, 2.0909, -22.2449, 11.0152, 0.6439, -18.2869, 4216.4785, 7148.4185, 183.70, 0.24, 41.51, 3
21.255, -0.1177, 2.0006, 10.0420, -0.1863, 0.2288, 0.9713, 33.3636, -0.3636, -21.5306, 11.9695, 0.8967, -14.7179, 4216.4785, 7148.4185, 183.70, 0.24, 41.51, 3
21.280, -0.5884, 1.7652, 9.9243, -0.2274, 0.2590, 1.1095, 33.3636, -0.3636, -21.5306, 10.0855, 3.3407, -13.6010, 4216.4785, 7148.4185, 183.70, 0.24, 41.51, 3
21.300, -0.9414, 1.5691, 10.1989, -0.1796, 0.2776, 1.1810, 33.3636, -0.3636, -21.5306, 8.7462, 5.2129, -12.6795, 4216.4785, 7148.4185, 183.70, 0.24, 41.51, 3
21.319, -0.9414, 1.4122, 9.9636, -0.1188, 0.2398, 1.1321, 34.1818, -3.2727, -21.0204, 8.0669, 5.3446, -5.8563, 4216.4785, 7148.4185, 183.70, 0.24, 41.51, 3
21.345, -0.2354, 1.6475, 9.4536, -0.0887, 0.2796, 1.0829, 34.1818, -3.2727, -21.0204, 10.6631, -0.7067, -7.3488, 4216.4785, 7148.4185, 183.70, 0.24, 41.51, 3
21.365, 0.5884, 1.3729, 9.2575, -0.0890, 0.3169, 1.1379, 34.1818, -3.2727, -21.0204, 8.6576, -0.9323, -4.9361, 4216.4785, 7148.4185, 183.70, 0.24, 41.51, 3
21.385, 0.0392, 1.4514, 9.6105, -0.0675, 0.3653, 1.2857, 34.8182, -6.2727, -20.0000, 7.2611, 1.0971, 1.7747, 4216.4785, 7148.4185, 183.70, 0.24, 41.51, 3
21.410, -0.6669, 1.2945, 10.1597, 0.0234, 0.2188, 1.3483, 34.8182, -6.2727, -20.0000, 7.2611, 3.7253, 1.5455, 4216.4785, 7148.4185, 183.70, 0.24, 41.51, 3
21.430, -0.7845, 1.3729, 10.1597, 0.0562, 0.1509, 1.3370, 34.8182, -6.2727, -20.0000, 7.6961, 4.3760, 0.8932, 4216.4785, 7148.4185, 183.70, 0.24, 41.51, 3
21.449, -1.1768, 1.1376, 10.3951, 0.1061, 0.1607, 1.3456, 34.8182, -10.2727, -19.4898, 6.2453, 6.4208, 10.4629, 4216.4785, 7148.4185, 183.70, 0.24, 41.51, 3
21.477, -1.1768, 1.3337, 10.5520, 0.0615, 0.3036, 1.3396, 34.8182, -10.2727, -19.4898, 7.0992, 5.3989, 9.1161, 4216.4785, 7148.4185, 183.70, 0.24, 41.51, 3
21.496, -0.8630, 1.3729, 10.8658, -0.0292, 0.4001, 1.3560, 34.8182, -10.2727, -19.4898, 7.8958, 3.5167, 7.8912, 4216.4785, 7148.4185, 183.70, 0.24, 41.51, 3
21.517, -0.6276, 1.5298, 10.7481, -0.1002, 0.3827, 1.3954, 34.1818, -13.9091, -18.3673, 9.1827, 2.9742, 13.0783, 4216.4785, 7148.4185, 183.70, 0.24, 41.51, 3
21.536, -0.5884, 1.6475, 10.5520, -0.1042, 0.3377, 1.4728, 34.1818, -13.9091, -18.3673, 8.8277, 4.2812, 13.7259, 4216.4785, 7148.4185, 183.70, 0.24, 41.51, 3
21.563, -1.1376, 1.4906, 10.9442, -0.0176, 0.2857, 1.5284, 34.1818, -13.9091, -18.3673, 8.6097, 6.5539, 14.4797, 4216.4785, 7148.4185, 183.70, 0.31, 30.80, 3
21.583, -1.2553, 1.8829, 10.9050, 0.0200, 0.2210, 1.4901, 33.0000, -17.8182, -17.8571, 11.6336, 6.1657, 18.0701, 4216.4785, 7148.4185, 183.70, 0.31, 30.80, 3
21.603, -1.1376, 2.3536, 10.5520, -0.0133, 0.2494, 1.5078, 33.0000, -17.8182, -17.8571, 12.4156, 6.0325, 16.9444, 4216.4785, 7148.4185, 183.70, 0.31, 30.80, 3
21.628, -1.2945, 1.7260, 10.8265, -0.0273, 0.3551, 1.6220, 33.0000, -17.8182, -17.8571, 9.0579, 6.7340, 21.7632, 4216.4785, 7148.4185, 183.70, 0.31, 30.80, 3
21.648, -1.3729, 1.4122, 11.1404, -0.0003, 0.3529, 1.6577, 33.0000, -17.8182, -17.8571, 7.2243, 6.9705, 0.0000, 4216.4785, 7148.4185, 183.70, 0.31, 30.80, 3
21.666, -1.2553, 1.4514, 11.1404, 0.0273, 0.2393, 1.5899, 31.0000, -21.9091, -16.9388, 7.6082, 6.3298, 31.9967, 4216.4785, 7148.4185, 183.70, 0.31, 30.80, 3
21.695, -1.0199, 1.8044, 10.6304, 0.0044, 0.1744, 1.5398, 31.0000, -21.9091, -16.9388, 10.5932, 5.3583, 27.9859, 4216.4785, 7148.4185, 183.70, 0.31, 30.80, 3
21.714, -1.1376, 1.9613, 10.1989, -0.0606, 0.1926, 1.5551, 31.0000, -21.9091, -16.9388, 11.6894, 7.2698, 27.5999, 4216.4785, 7148.4185, 183.70, 0.31, 30.80, 3
21.734, -1.4514, 1.9613, 10.0420, -0.1067, 0.3004, 1.5927, 28.4545, -24.9091, -16.8367, 9.6734, 7.6561, 38.0295, 4216.4785, 7148.4185, 183.70, 0.31, 30.80, 3
21.760, -1.3337, 1.6083, 10.5520, -0.0715, 0.4178, 1.5501, 28.4545, -24.9091, -16.8367, 8.6661, 7.1223, 38.7155, 4216.4785, 7148.4185, 183.70, 0.31, 30.80, 3
21.780, -0.9022, 1.4906, 10.7481, -0.0548, 0.3997, 1.5168, 28.4545, -24.9091, -16.8367, 7.8958, 4.7530, 37.7401, 4216.4785, 7148.4185, 183.70, 0.31, 30.80, 3
21.799, -0.6669, 1.5298, 10.2381, -0.0635, 0.3415, 1.4873, 25.4545, -27.6364, -16.5306, 8.4986, 3.6858, 43.6525, 4216.4785, 7148.4185, 183.70, 0.31, 30.80, 3
21.825, -0.6276, 1.5298, 9.9243, -0.1258, 0.2973, 1.4653, 25.4545, -27.6364, -16.5306, 8.9149, 3.7681, 43.3284, 4216.4785, 7148.4185, 183.70, 0.31, 30.80, 3
21.846, -0.7061, 1.4906, 9.8459, -0.1368, 0.2937, 1.4044, 25.4545, -27.6364, -16.5306, 8.5308, 3.2654, 43.2975, 4216.4785, 7148.4185, 183.70, 0.31, 30.80, 3
21.865, -0.5099, 1.4906, 10.2381, -0.1292, 0.2766, 1.3213, 23.0000, -29.6364, -16.4286, 9.1827, 1.2756, 46.7837, 4216.4785, 7148.4185, 183.70, 0.31, 30.80, 3
21.884, -0.1569, 1.8044, 10.2774, -0.0968, 0.2072, 1.3088, 23.0000, -29.6364, -16.4286, 10.0573, 0.4258, 45.3597, 4216.4785, 7148.4185, 183.70, 0.31, 30.80, 3
21.910, -0.3138, 1.8437, 10.0028, -0.1564, 0.1607, 1.4161, 23.0000, -29.6364, -16.4286, 10.4432, 1.7672, 46.0375, 4216.4785, 7148.4185, 183.70, 0.31, 30.80, 3
21.931, -0.5884, 1.4906, 9.7674, -0.2106, 0.2347, 1.4882, 20.1818, -31.2727, -16.6327, 8.6770, 3.4080, 54.8402, 4216.4785, 7148.4185, 183.70, 0.31, 30.80, 3
21.950, -0.9807, 1.2553, 10.2774, -0.2164, 0.2882, 1.4734, 20.1818, -31.2727, -16.6327, 6.9635, 5.4107, 58.0908, 4216.4785, 7148.4185, 183.70, 0.31, 30.80, 3
21.976, -1.0199, 0.9807, 10.7089, -0.1972, 0.2092, 1.3509, 20.1818, -31.2727, -16.6327, 6.5258, 5.0283, 57.9733, 4216.4785, 7148.4185, 183.70, 0.31, 30.80, 3
21.995, -0.8630, 1.2553, 10.4735, -0.1796, 0.0780, 1.2370, 17.0909, -32.1818, -17.3469, 7.1788, 4.3312, 62.5983, 4216.4785, 7148.4185, 183.70, 0.31, 30.80, 3
22.016, -0.6669, 1.2553, 10.3166, -0.1419, 0.0334, 1.1926, 17.0909, -32.1818, -17.3469, 6.9635, 4.3332, 62.7275, 4216.4785, 7148.4185, 183.70, 0.31, 30.80, 3
22.041, -0.5884, 1.6083, 10.4343, -0.1251, 0.0324, 1.1791, 17.0909, -32.1818, -17.3469, 8.7623, 3.1900, 60.2715, 4216.4785, 7148.4185, 183.70, 0.31, 30.80, 3
22.061, -0.6669, 1.6867, 10.3951, -0.1665, 0.0983, 1.2430, 17.0909, -32.5455, -17.9592, 9.2167, 3.6233, 65.5524, 4216.4785, 7148.4185, 183.70, 0.31, 30.80, 3
22.081, -1.1768, 1.6867, 10.7089, -0.2176, 0.1914, 1.3392, 14.3636, -32.5455, -17.9592, 8.9511, 6.1953, 69.2232, 4216.4785, 7148.4185, 183.70, 0.31, 30.80, 3
22.107, -1.2553, 1.8829, 11.0619, -0.2460, 0.2220, 1.3702, 14.3636, -32.5455, -17.9592, 10.6074, 6.5384, 68.8376, 4216.4785, 7148.4185, 183.70, 0.31, 30.80, 3
22.126, -1.3729, 2.0398, 10.7873, -0.2144, 0.2048, 1.4364, 14.3636, -32.5455, -17.9592, 9.3955, 7.4806, 77.3302, 4216.4785, 7148.4185, 183.70, 0.31, 30.80, 3
22.146, -1.8437, 1.5298, 11.2580, -0.1206, 0.2088, 1.5226, 11.3636, -32.8182, -18.4694, 6.3402, 9.5978, 81.1532, 4216.4785, 7148.4185, 183.70, 0.31, 30.80, 3
22.166, -1.7652, 0.9414, 11.3757, -0.0767, 0.1330, 1.4704, 11.3636, -32.8182, -18.4694, 4.4451, 7.8232, 78.8898, 4216.4785, 7148.4185, 183.70, 0.31, 30.80, 3
22.192, -0.7845, 1.1768, 10.3166, -0.1239, 0.0400, 1.3697, 11.3636, -32.8182, -18.4694, 9.4623, 3.9368, 71.8298, 4216.4785, 7148.4185, 183.70, 0.31, 30.80, 3
22.211, -0.5099, 1.8044, 9.7674, -0.2259, 0.0418, 1.4096, 8.3636, -33.5455, -18.9796, 12.1106, 3.8499, 77.3615, 4216.4785, 7148.4185, 183.70, 0.31, 30.80, 3
22.232, -1.0199, 1.9221, 9.6890, -0.2700, 0.1145, 1.5924, 8.3636, -33.5455, -18.9796, 10.9611, 8.3882, 85.6188, 4216.4785, 7148.4185, 183.70, 0.31, 30.80, 3
22.259, -1.9613, 1.8044, 10.3951, -0.1032, 0.1553, 1.7237, 8.3636, -33.5455, -18.9796, 9.8476, 10.5310, 89.2758, 4216.4785, 7148.4185, 183.70, 0.31, 30.80, 3
22.279, -2.0398, 1.6083, 10.7481, -0.0370, 0.1124, 1.7133, 4.7273, -33.4545, -19.1837, 8.5103, 10.6302, 96.8216, 4216.4785, 7148.4185, 183.70, 0.31, 30.80, 3
22.299, -1.8437, 1.3729, 10.8265, 0.0386, 0.1124, 1.7136, 4.7273, -33.4545, -19.1837, 7.2272, 9.5888, 94.8208, 4216.4785, 7148.4185, 183.70, 0.31, 30.80, 3
22.337, -1.2553, 1.0591, 10.1597, -0.0750, 0.1367, 1.7827, 1.0909, -33.1818, -19.4898, 5.9514, 7.0057, 97.9837, 4216.4785, 7148.4185, 183.70, 0.31, 30.80, 3
22.463, -2.3144, 0.8238, 9.8851, -0.2436, 0.1941, 2.1675, -2.7273, -32.3636, -19.8980, 4.8793, 10.5540, 109.6944, 4216.4785, 7148.4185, 183.70, 0.31, 30.80, 3
22.588, -1.2945, 0.9807, 10.7481, 0.1364, -0.0098, 1.6590, -10.1818, -29.4545, -20.9184, 5.2133, 6.8394, 120.8923, 4216.4785, 7148.4185, 183.70, 0.31, 30.80, 3
22.825, -0.5492, 0.9414, 9.9636, -0.0516, 0.3063, 1.4581, -21.5455, -22.6364, -21.5306, 5.3977, 3.1409, 142.2872, 4216.4785, 7148.4185, 183.70, 0.42, 40.85, 3
22.909, -0.6276, 0.8630, 10.4735, 0.1900, 0.0767, 1.0666, -23.0909, -20.7273, -21.7347, 5.1944, 1.9445, 145.8172, 4216.4785, 7148.4185, 183.70, 0.42, 40.85, 3
22.929, -0.0392, 1.1768, 10.1597, 0.1382, 0.0959, 0.9911, -23.0909, -20.7273, -21.7347, 7.7851, 0.2217, 148.0730, 4216.4785, 7148.4185, 183.70, 0.42, 40.85, 3
22.955, 0.2746, 0.9807, 10.1989, 0.0466, 0.2233, 1.0389, -24.0909, -19.3636, -21.7347, 5.4923, -1.5351, 146.7809, 4216.4785, 7148.4185, 183.70, 0.42, 40.85, 3
22.975, -0.1177, 0.5492, 10.8265, -0.0003, 0.3024, 1.0902, -24.0909, -19.3636, -21.7347, 2.9038, 0.6220, 145.1211, 4216.4785, 7148.4185, 183.70, 0.42, 40.85, 3
22.994, -0.1177, 0.3923, 10.5127, -0.0412, 0.1860, 1.0130, -24.0909, -19.3636, -21.7347, 2.1369, 0.6409, 144.2035, 4216.4785, 7148.4185, 183.70, 0.42, 40.85, 3
23.014, -0.0392, 0.4315, 9.8459, -0.0283, 0.0764, 0.8946, -24.0909, -19.3636, -21.7347, 2.5094, 0.6841, 0.0000, 4216.4785, 7148.4185, 183.70, 0.42, 40.85, 3
23.038, -0.1569, 0.4707, 10.0420, 0.0443, 0.1161, 0.8008, -24.3636, -17.7273, -22.2449, 2.6838, 0.8942, 148.0611, 4216.4785, 7148.4185, 183.70, 0.42, 40.85, 3
23.058, 0.0392, 0.6276, 10.1989, 0.1008, 0.1678, 0.6805, -24.3636, -17.7273, -22.2449, 3.5215, -0.2200, 148.3252, 4216.4785, 7148.4185, 183.70, 0.42, 40.85, 3
23.078, 0.1569, 0.5884, 10.7873, 0.1643, 0.2011, 0.6090, -24.3636, -17.7273, -22.2449, 3.1221, -0.8321, 147.2669, 4216.4785, 7148.4185, 183.70, 0.42, 40.85, 3
23.104, -0.0392, 0.3138, 11.3365, 0.2477, 0.1384, 0.5478, -24.5455, -16.9091, -22.1429, 1.1652, 1.1649, 147.8159, 4216.4785, 7148.4185, 183.70, 0.42, 40.85, 3
23.123, -0.3923, 0.0000, 11.3365, 0.2422, -0.0066, 0.4125, -24.5455, -16.9091, -22.1429, 0.5947, 1.3874, 147.2774, 4216.4785, 7148.4185, 183.70, 0.42, 40.85, 3
23.143, -0.1961, 0.2354, 11.2580, 0.1692, -0.0454, 0.2172, -24.5455, -16.9091, -22.1429, 3.0023, -0.0000, 149.3504, 4216.4785, 7148.4185, 183.70, 0.42, 40.85, 3
23.169, 0.4315, 0.9414, 11.1796, 0.0315, 0.0379, 0.1271, -24.3636, -16.5455, -21.8367, 4.8474, -2.2180, 150.7225, 4216.4785, 7148.4185, 183.70, 0.42, 40.85, 3
23.188, 0.2354, 1.4514, 11.1796, -0.1182, 0.1471, 0.2101, -24.3636, -16.5455, -21.8367, 7.3970, -1.1960, 155.6213, 4216.4785, 7148.4185, 183.70, 0.42, 40.85, 3
23.208, -0.6669, 0.7845, 11.2188, -0.2123, 0.2349, 0.3906, -24.3636, -16.5455, -21.8367, 4.0002, 3.3934, 153.3201, 4216.4785, 7148.4185, 183.70, 0.42, 40.85, 3
23.234, -1.7652, -0.9022, 12.1602, -0.0661, 0.2304, 0.1061, -23.9091, -15.8182, -22.4490, -3.8754, 7.1543, 147.3503, 4216.4785, 7148.4185, 183.70, 0.42, 40.85, 3
23.254, -0.7061, -0.2746, 10.4735, 0.1287, -0.0483, -0.1550, -23.9091, -15.8182, -22.4490, 2.7875, -0.4287, 150.0297, 4216.4785, 7148.4185, 183.70, 0.42, 40.85, 3
23.274, 0.7453, 1.2553, 9.1790, 0.0845, -0.2437, -0.4198, -23.9091, -15.8182, -22.4490, 11.3570, -7.1642, 161.4701, 4216.4785, 7148.4185, 183.70, 0.42, 40.85, 3
23.302, 0.9807, 1.7260, 9.6497, -0.0281, 0.0727, 0.0255, -23.3636, -16.1818, -22.0408, 7.2061, -3.4804, 153.4425, 4216.4785, 7148.4185, 183.70, 0.42, 40.85, 3
23.321, 0.0000, 1.0199, 10.6304, 0.0098, 0.0968, 0.2656, -23.3636, -16.1818, -22.0408, 4.8511, 2.1057, 153.5757, 4216.4785, 7148.4185, 183.70, 0.42, 40.85, 3
23.342, -0.7061, 0.7845, 10.2381, 0.0677, -0.0310, 0.2680, -23.3636, -16.1818, -22.0408, 3.4200, 5.4522, 153.5451, 4216.4785, 7148.4185, 183.70, 0.42, 40.85, 3
23.361, -1.0983, 0.3923, 9.8067, 0.0996, -0.0406, 0.1910, -23.2727, -15.4545, -21.8367, 1.3220, 5.9271, 152.2489, 4216.4785, 7148.4185, 183.70, 0.42, 40.85, 3
23.387, -0.2354, 0.1961, 10.3166, 0.1759, 0.0800, 0.0231, -23.2727, -15.4545, -21.8367, 1.0891, 1.3067, 148.9123, 4216.4785, 7148.4185, 183.70, 0.42, 40.85, 3
23.407, 0.5492, 0.5099, 10.0812, 0.0907, 0.0429, -0.0412, -23.2727, -15.4545, -21.8367, 2.8958, -3.1141, 147.6934, 4216.4785, 7148.4185, 183.70, 0.42, 40.85, 3
23.427, 0.6276, 0.6669, 10.0812, -0.0159, -0.0041, 0.0577, -23.2727, -15.4545, -21.7347, 3.7845, -3.5547, 148.4588, 4216.4785, 7148.4185, 183.70, 0.42, 40.85, 3
23.452, -0.1569, 0.6669, 10.0812, -0.0302, -0.1037, 0.1666, -23.0909, -15.4545, -21.7347, 2.7049, 4.0491, 152.7230, 4216.4785, 7148.4185, 183.70, 0.42, 40.85, 3
23.474, -0.9807, 0.3138, 10.0812, 0.0356, -0.1575, 0.1248, -23.0909, -15.4545, -21.7347, 1.7830, 5.5534, 152.4207, 4216.4785, 7148.4185, 183.70, 0.42, 40.85, 3
23.493, -0.1177, 0.6669, 9.7282, 0.1121, -0.1454, -0.0308, -23.0909, -15.4545, -21.7347, 3.9214, 0.6914, 152.9363, 4216.4785, 7148.4185, 183.70, 0.42, 40.85, 3
23.520, 0.5492, 0.7453, 9.8067, 0.0612, -0.0144, -0.0608, -23.1818, -15.0909, -21.4286, 4.7449, -4.7287, 149.7893, 4216.4785, 7148.4185, 183.70, 0.42, 40.85, 3
23.540, 0.9414, 0.9022, 10.1205, -0.0761, 0.1251, 0.0359, -23.1818, -15.0909, -21.4286, 4.3487, -4.5522, 149.2691, 4216.4785, 7148.4185, 183.70, 0.41, 47.06, 3
23.561, 0.5492, 0.8238, 10.4735, -0.2089, 0.1399, 0.1767, -23.1818, -15.0909, -21.4286, 4.2679, -0.0000, 154.6455, 4216.4785, 7148.4185, 183.70, 0.41, 47.06, 3
23.585, -0.5099, 0.9022, 10.1597, -0.2434, 0.0484, 0.2091, -22.8182, -14.0909, -21.5306, 5.0747, 2.8622, 157.6069, 4216.4785, 7148.4185, 183.70, 0.41, 47.06, 3
23.606, -0.5492, 0.7061, 10.6304, -0.1643, 0.1271, 0.1683, -22.8182, -14.0909, -21.5306, 3.8000, 2.9508, 155.7657, 4216.4785, 7148.4185, 183.70, 0.41, 47.06, 3
23.625, -0.3138, 0.9414, 11.2973, -0.1281, 0.1460, 0.1327, -22.8182, -14.0909, -21.5306, 4.7636, 1.5856, 156.4317, 4216.4785, 7148.4185, 183.70, 0.41, 47.06, 3
23.651, -0.0392, 1.2160, 10.8265, -0.1303, 0.0173, 0.1232, -22.1818, -13.5455, -21.7347, 5.6459, 0.2168, 157.7216, 4216.4785, 7148.4185, 183.70, 0.41, 47.06, 3
23.680, -0.5492, 1.4122, 10.1597, -0.0757, 0.0936, 0.2637, -22.1818, -13.5455, -21.7347, 7.3170, 4.6335, 162.5574, 4216.4785, 7148.4185, 183.70, 0.41, 47.06, 3
23.709, -0.6669, 0.5884, 10.5912, 0.0379, 0.1889, 0.2605, -21.8182, -12.6364, -21.3265, 1.6909, 4.6391, 155.5705, 4216.4785, 7148.4185, 183.70, 0.41, 47.06, 3
23.735, -0.6669, 0.1569, 10.8658, 0.1897, 0.2393, 0.0779, -21.8182, -12.6364, -21.3265, 0.8273, 3.5116, 153.6995, 4216.4785, 7148.4185, 183.70, 0.41, 47.06, 3
23.755, -0.1569, 0.9022, 10.4735, 0.1080, 0.2094, -0.0673, -21.8182, -12.6364, -21.3265, 4.9234, 0.8551, 158.3469, 4216.4785, 7148.4185, 183.70, 0.41, 47.06, 3
23.775, 0.0000, 1.5298, 10.4735, 0.0770, 0.2140, -0.0843, -20.8182, -13.0909, -21.0204, 8.3103, -0.0000, 161.9781, 4216.4785, 7148.4185, 183.70, 0.41, 47.06, 3
23.794, -0.3530, 1.7652, 10.8265, 0.0713, 0.2167, -0.0295, -20.8182, -13.0909, -21.0204, 9.2602, 1.8434, 164.5311, 4216.4785, 7148.4185, 183.70, 0.41, 47.06, 3
23.820, -0.5884, 1.6475, 10.6304, 0.1232, 0.1074, 0.0163, -20.8182, -13.0909, -21.0204, 9.1489, 3.1747, 164.7561, 4216.4785, 7148.4185, 183.70, 0.41, 47.06, 3
23.839, -0.6276, 1.6083, 10.5912, 0.1474, 0.1616, 0.0458, -19.3636, -13.0909, -20.6122, 8.0112, 3.5677, 161.5945, 4216.4785, 7148.4185, 183.70, 0.41, 47.06, 3
23.860, -0.6669, 1.2160, 10.7873, 0.1269, 0.2007, 0.0684, -19.3636, -13.0909, -20.6122, 5.1757, 3.3043, 156.6505, 4216.4785, 7148.4185, 183.70, 0.41, 47.06, 3
23.887, -0.3923, 1.1376, 10.4735, 0.0171, 0.1998, 0.0257, -19.3636, -13.0909, -20.6122, 7.2840, 1.0682, 159.0311, 4216.4785, 7148.4185, 183.70, 0.41, 47.06, 3
23.907, 0.0000, 1.5691, 10.0420, -0.0812, 0.1871, 0.0084, -18.0000, -13.4545, -20.1020, 8.3528, -0.8997, 157.1142, 4216.4785, 7148.4185, 183.70, 0.41, 47.06, 3
23.927, 0.0392, 1.2553, 10.2774, -0.1075, 0.2250, 0.1052, -18.0000, -13.4545, -20.1020, 5.5872, 0.6198, 152.8928, 4216.4785, 7148.4185, 183.70, 0.41, 47.06, 3
23.953, -0.1177, 1.2160, 10.3558, -0.0602, 0.0990, 0.1043, -18.0000, -13.4545, -20.1020, 6.6972, 0.6466, 154.9680, 4216.4785, 7148.4185, 183.70, 0.41, 47.06, 3
23.972, 0.0392, 1.4906, 9.3752, -0.0698, -0.0826, 0.0017, -18.0000, -13.4545, -20.1020, 9.0342, -0.2368, 159.0169, 4216.4785, 7148.4185, 183.70, 0.41, 47.06, 3
23.993, 0.4707, 1.6083, 9.1790, -0.1009, -0.0220, -0.0063, -18.0000, -13.4545, -20.1020, 9.9381, -2.8917, 159.2057, 4216.4785, 7148.4185, 183.70, 0.41, 47.06, 3
24.018, 0.5492, 1.4122, 9.8459, -0.1179, 0.1275, 0.0516, -18.0000, -13.4545, -20.1020, 8.0984, -2.9122, 154.8750, 4216.4785, 7148.4185, 183.70, 0.41, 47.06, 3
24.038, 0.5099, 1.2553, 10.0812, -0.1619, 0.1063, 0.1035, -18.0000, -13.4545, -20.1020, 6.8253, -1.9761, 149.9094, 4216.4785, 7148.4185, 183.70, 0.41, 47.06, 3
24.058, -0.0785, 1.1376, 10.0812, -0.1717, 0.0060, 0.1287, -15.7273, -14.5455, -19.6939, 5.1944, 2.3762, 147.8319, 4216.4785, 7148.4185, 183.70, 0.41, 47.06, 3
24.084, -0.7845, 1.3729, 10.4343, -0.0168, -0.1556, -0.0667, -15.7273, -14.5455, -19.6939, 7.4959, 4.2633, 153.4032, 4216.4785, 7148.4185, 183.70, 0.41, 47.06, 3
24.103, -0.1177, 1.6083, 10.6304, 0.0290, -0.1713, -0.1539, -15.7273, -14.5455, -19.6939, 8.6031, 0.6271, 152.5895, 4216.4785, 7148.4185, 183.70, 0.41, 47.06, 3
24.124, 0.2354, 1.8437, 11.1011, 0.0918, -0.1100, -0.2027, -15.4545, -15.4545, -19.0816, 9.4295, -1.1982, 149.0062, 4216.4785, 7148.4185, 183.70, 0.41, 47.06, 3
24.143, 0.3530, 1.0983, 11.4149, 0.0356, -0.1009, -0.1150, -15.4545, -15.4545, -19.0816, 5.4961, -1.7633, 140.7570, 4216.4785, 7148.4185, 183.70, 0.41, 47.06, 3
